symbol,summary,quoteType,beta,dividendRate,marketCap,dividendYield,exDividendDate,dayHigh,dayLow,ask,previousClose,marketOpen,bid,askSize,bidSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,earnings
7DIG.L,{},,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{}
ICON.L,"{'zip': 'WC2A 2JR', 'sector': 'Communication Services', 'fullTimeEmployees': 4, 'longBusinessSummary': 'Iconic Labs Plc engages in media and technology business, focuses providing online media; artificial intelligence; and big data gathering, processing, and analysis products. It is also involved in the trading activities. The company was formerly known as WideCells Group PLC and changed its name to Iconic Labs Plc in July 2019. Iconic Labs Plc was founded in 2012 and is based in London, the United Kingdom.', 'city': 'London', 'country': 'United Kingdom', 'companyOfficers': [], 'website': 'https://www.iconiclabs.co.uk', 'maxAge': 86400, 'address1': '7 Bell Yard', 'industry': 'Advertising Agencies'}",EQUITY,1.316412,0,1551677,0,0,0.0035,0.00326,0.0035,0.0035,0.00336,0.003,0,0,129555194,0.023,0.00016,"[{'date': 2019, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -4173598, 'fmt': '-4.17M', 'longFmt': '-4,173,598'}}, {'date': 2020, 'revenue': {'raw': 107303, 'fmt': '107.3k', 'longFmt': '107,303'}, 'earnings': {'raw': -2390121, 'fmt': '-2.39M', 'longFmt': '-2,390,121'}}, {'date': 2021, 'revenue': {'raw': 509171, 'fmt': '509.17k', 'longFmt': '509,171'}, 'earnings': {'raw': -7697306, 'fmt': '-7.7M', 'longFmt': '-7,697,306'}}, {'date': 2022, 'revenue': {'raw': 26823, 'fmt': '26.82k', 'longFmt': '26,823'}, 'earnings': {'raw': -762107, 'fmt': '-762.11k', 'longFmt': '-762,107'}}]"
KOD.L,"{'zip': 'W1S 2PP', 'sector': 'Basic Materials', 'fullTimeEmployees': 19, 'longBusinessSummary': 'Kodal Minerals PLC, together with its subsidiaries, engages in the exploration and evaluation of mineral resources in the United Kingdom and West Africa. The company explores for lithium and gold deposits. Its flagship project is the Bougouni Lithium project located in Mali. Kodal Minerals PLC was incorporated in 2010 and is based in London, the United Kingdom.', 'city': 'London', 'phone': '44 20 3463 2260', 'country': 'United Kingdom', 'companyOfficers': [], 'website': 'https://www.kodalminerals.com', 'maxAge': 86400, 'address1': 'Prince Frederick House', 'industry': 'Other Industrial Metals & Mining', 'address2': '35-39 Maddox Street'}",EQUITY,1.115648,0,136476096,0,0,0.875,0.74,0.82,0.86,0.865,0.77,0,0,437181213,0.93,0.2,"[{'date': 2019, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -712611, 'fmt': '-712.61k', 'longFmt': '-712,611'}}, {'date': 2020, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -629504, 'fmt': '-629.5k', 'longFmt': '-629,504'}}, {'date': 2021, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -623370, 'fmt': '-623.37k', 'longFmt': '-623,370'}}, {'date': 2022, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -903087, 'fmt': '-903.09k', 'longFmt': '-903,087'}}]"
SYME.L,"{'zip': 'W1W 8DH', 'sector': 'Technology', 'fullTimeEmployees': 19, 'longBusinessSummary': 'Supply@ME Capital plc operates a platform that provides inventory monetization services to manufacturing and trading companies in the United Kingdom, the Middle East, Italy, North Africa, the United States, and internationally. The company is based in London, the United Kingdom.', 'city': 'London', 'phone': '44 20 7933 8780', 'country': 'United Kingdom', 'companyOfficers': [], 'website': 'https://www.supplymecapital.com', 'maxAge': 86400, 'address1': '27/28 Eastcastle Street', 'industry': 'Software—Application'}",EQUITY,6.78104,0,26896350,0,0,0.05,0.045,0.05,0.047,0.0468,0.045,0,0,57396610,0.186,0.008,{}
0VRF.L,{},EQUITY,0,0,0,0,0,0,0,0,19.2015,0,0,0,0,0,21.7709,0,{}
0MRI.IL,{},EQUITY,0,0,0,0,0,0.8605,0.8605,0.8774,0.87125,0,0.8346,0,0,9639454,1.5787,0.85085,{}
PREM.L,"{'zip': 'VG 1110', 'sector': 'Basic Materials', 'fullTimeEmployees': 11, 'longBusinessSummary': 'Premier African Minerals Limited, together with its subsidiaries, engages in the mining, exploration, evaluation, development, and investment of natural resource properties on the African continent. The company explores for tungsten, lithium, tantalum, fluorspar, potash, and gold deposits. It holds interests in various properties located in Zimbabwe and Mozambique. The company was formerly known as G&B African Resources Limited and changed its name to Premier African Minerals Limited in April 2012. Premier African Minerals Limited was incorporated in 2007 and is based in Tortola, British Virgin Islands.', 'city': 'Tortola', 'country': 'British Virgin Islands', 'companyOfficers': [], 'website': 'https://www.premierafricanminerals.com', 'maxAge': 86400, 'address1': 'Craigmuir Chambers', 'industry': 'Other Industrial Metals & Mining', 'address2': 'Road Town PO Box 71'}",EQUITY,1.448854,0,210146320,0,0,0.99,0.84,0.94,0.97,0.979,0.93,0,0,581183621,1.04,0.26,"[{'date': 2018, 'revenue': {'raw': 168000, 'fmt': '168k', 'longFmt': '168,000'}, 'earnings': {'raw': -6809000, 'fmt': '-6.81M', 'longFmt': '-6,809,000'}}, {'date': 2019, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -1337000, 'fmt': '-1.34M', 'longFmt': '-1,337,000'}}, {'date': 2020, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -854000, 'fmt': '-854k', 'longFmt': '-854,000'}}, {'date': 2021, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': 2736000, 'fmt': '2.74M', 'longFmt': '2,736,000'}}]"
0RQY.L,"{'sector': '', 'longBusinessSummary': ""B.F. S.p.A. engages in the cultivation and marketing of agricultural products in Italy. The company offers pasta, rice, herbal teas, oilseeds, paddy, crops, and legumes/cereals, as well as vegetables and fruits. It is also involved in horticultural activities and plantation of forage crops; and provision of consulting services. The company markets its products under the Le Stagioni d'Italia, Zorzi, or Private Label brands. It sells its products to agricultural and industrial, and food distribution companies. The company was incorporated in 2014 and is based in Jolanda di Savoia, Italy."", 'city': 'Jolanda di Savoia', 'phone': '39 0532 83 61 02', 'state': 'FE', 'country': 'Italy', 'companyOfficers': [], 'website': 'https://www.bfspa.it', 'maxAge': 86400, 'address1': 'Via Cavicchini, 2', 'industry': ''}",EQUITY,0.017938,0,0,0,0,0,0,0,3.3,0,0,0,0,0,3.3,0,{}
BOIL.L,"{'zip': 'EC1V 9EE', 'sector': 'Energy', 'fullTimeEmployees': 5, 'longBusinessSummary': 'Baron Oil Plc, together with its subsidiaries, engages in the exploration, development, and production of oil and gas reserves, and other related activities in South America, South East Asia, and the United Kingdom. The company holds 75% interest in Timor-Leste TL-SO-19-16 PSC offshore license located in Southeast Asia. It also owns 100% interest in onshore license Block XXI located in Peru; and 32% interest in P2478 offshore license located in the United Kingdom. The company was formerly known as Gold Oil Plc and changed its name to Baron Oil Plc in July 2013. Baron Oil Plc was incorporated in 2004 and is headquartered in London, the United Kingdom.', 'city': 'London', 'phone': '44 20 7117 2849', 'country': 'United Kingdom', 'companyOfficers': [], 'website': 'https://www.baronoilplc.com', 'maxAge': 86400, 'address1': 'Finsgate', 'industry': 'Oil & Gas E&P', 'address2': '5-7 Cranwood Street'}",EQUITY,0.637786,0,22114962,0,0,0.125,0.11,0.12,0.1225,0.121,0.11,0,0,418387272,0.358,0.055,"[{'date': 2018, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -2495000, 'fmt': '-2.5M', 'longFmt': '-2,495,000'}}, {'date': 2019, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -1674000, 'fmt': '-1.67M', 'longFmt': '-1,674,000'}}, {'date': 2020, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -920000, 'fmt': '-920k', 'longFmt': '-920,000'}}, {'date': 2021, 'revenue': {'raw': 0, 'fmt': None, 'longFmt': '0'}, 'earnings': {'raw': -1127000, 'fmt': '-1.13M', 'longFmt': '-1,127,000'}}]"
GST.L,"{'zip': '6000', 'sector': 'Technology', 'longBusinessSummary': 'GSTechnologies Ltd., together with its subsidiaries, provides data infrastructure, storage, and technology services worldwide. It offers structured cabling, data centers infrastructure, wireless network solution, smart security, and project management services. In addition, the company engages in the blockchain business. It serves internet of things and ICT industries; and governmental and private organizations. The company was formerly known as Golden Saint Technologies Limited and changed its name to GSTechnologies Ltd. in August 2019. GSTechnologies Ltd. is based in Perth, Australia.', 'city': 'Perth', 'phone': '61 8 6189 8531', 'state': 'WA', 'country': 'Australia', 'companyOfficers': [], 'website': 'https://www.gstechnologies.co.uk', 'maxAge': 86400, 'address1': '11/125 St Georges Terrace', 'industry': 'Information Technology Services'}",EQUITY,0.152166,0,24270884,0,0,1.53,1.3,1.45,1.32,1.3,1.35,0,0,40063854,1.85,0.273,{}
