symbol,summary,quoteType,beta,dividendRate,marketCap,dividendYield,exDividendDate,dayHigh,dayLow,ask,previousClose,marketOpen,bid,askSize,bidSize,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,earnings
0JI3.L,"{'zip': '0287', 'sector': '', 'fullTimeEmployees': 3, 'longBusinessSummary': 'Hunter Group ASA, an investment company, primarily focuses on the shipping and oil services investments in Norway and internationally. The company develops VLCC construction contracts and options. As of December 31, 2022, its fleet consisted of eight identical VLCCs. The company was formerly known as Badger Explorer ASA and changed its name to Hunter Group ASA in May 2017. Hunter Group ASA was founded in 2003 and is headquartered in Oslo, Norway.', 'city': 'Oslo', 'phone': '47 95 77 29 47', 'country': 'Norway', 'companyOfficers': [], 'website': 'https://www.huntergroup.no', 'maxAge': 86400, 'address1': 'Dronningen 1', 'industry': ''}",EQUITY,-0.476335,0,771410,0,0,0,0,0,2.055,0,0,0,0,762580,3.62263,0,{}
0E2B.IL,{},EQUITY,0,0,0,0,0,98.81,98.81,0,982.15,0,0,0,0,4732,982.15,97.6593,{}
0AAT.IL,"{'zip': '01237', 'sector': '', 'fullTimeEmployees': 493, 'longBusinessSummary': 'Bike24 Holding AG operates online cycling platforms in Germany, Austria, Switzerland, rest of Europe, and internationally. It retails a range of traditional bicycles, e-bikes with electric motors, spare parts, accessories, and sportswear through online. The company was founded in 2002 and is headquartered in Dresden, Germany.', 'city': 'Dresden', 'phone': '49 351 4174 9779', 'country': 'Germany', 'companyOfficers': [], 'website': 'https://corporate.bike24.com', 'maxAge': 86400, 'address1': 'Breitscheidstrasse 40', 'fax': '49 351 4174 9779', 'industry': ''}",EQUITY,0,0,0,0,0,3.02,3.02,0,12.33,0,0,0,0,308,6.99,2.34326,{}
MH65.L,{},EQUITY,0,0,0,0,0,0,0,0,104.2,0,0,0,0,81000,0,0,{}
0AAS.IL,"{'zip': '114 51', 'sector': '', 'fullTimeEmployees': 145, 'longBusinessSummary': 'Samhällsbyggnadsbolaget i Norden AB (publ) owns, develops, and manages residential and social infrastructure properties in the Nordic region. It operates through three segments: Residential Properties, Community Service Properties, and Other Properties. The Residential Properties segment primarily consists of apartments and townhouses. The Community Service Properties segment includes schools, retirement homes, housing for the disabled, and properties operated by municipal and governmental agencies/authorities. The Other Properties segment operates commercial properties. Samhällsbyggnadsbolaget i Norden AB (publ) was incorporated in 2014 and is headquartered in Stockholm, Sweden.', 'city': 'Stockholm', 'phone': '46 2 00 22 72 00', 'country': 'Sweden', 'companyOfficers': [], 'website': 'https://www.sbbnorden.se', 'maxAge': 86400, 'address1': 'Strandvagen 1', 'industry': ''}",EQUITY,1.40458,0,0,0,0,12.684,12.608,0,48.62,12.608,0,0,0,8343,32.88,10.755,{}
0V6Y.L,"{'zip': 'V6C 2G8', 'sector': '', 'longBusinessSummary': 'Alaska Energy Metals Corporation engages in the acquisition and exploration of mineral properties. It explores for nickel, copper, cobalt, chrome, iron, platinum, and palladium. The company focuses on the Nikolai project located in central Alaska. The company was formerly known as Millrock Resources Inc. and changed its name to Alaska Energy Metals Corporation in March 2023. Alaska Energy Metals Corporation was incorporated in 1979 and is headquartered in Vancouver, Canada.', 'city': 'Vancouver', 'phone': '604-638-3164', 'state': 'BC', 'country': 'Canada', 'companyOfficers': [], 'website': 'https://www.millrockresources.com', 'maxAge': 86400, 'address1': '355 Burrard Street', 'fax': '907-677-3599', 'industry': '', 'address2': 'Suite 1000'}",EQUITY,0.025218,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0.25,0,{}
0OI0.L,"{'zip': '91430', 'sector': '', 'longBusinessSummary': 'Archos S.A. manufactures and sells consumer electronics. The company offers tablets, smartphones, connected objects, electrical vehicles, and cryptocurrency hardware wallets, as well as customized products and engineering services. Its products have entertainment/content protection, home automation, navigation, energy monitoring, education, digital signage, automotive, and audio and video guide applications, as well as in the vertical markets, including professional and medical markets. Archos S.A. was founded in 1988 and is based in Igny, France.', 'city': 'Igny', 'phone': '33 1 69 33 16 90', 'country': 'France', 'companyOfficers': [], 'website': 'https://www.archos.com', 'maxAge': 86400, 'address1': '12, rue AmpEre', 'industry': ''}",EQUITY,1.095801,0,0,0,0,0,0,0,0.10453001,0,0,0,0,0,0.105,0,{}
0A5O.IL,"{'zip': '1282', 'sector': 'Consumer Cyclical', 'fullTimeEmployees': 5930, 'longBusinessSummary': 'Allegro.eu SA operates a go-to commerce platform for consumers in Poland. It operates allegro.pl, an e-commerce marketplace that sell products in various categories, including automotive; home and garden; books, media, collectibles, and art; fashion and shoes; electronics; kids; health and beauty; sports and leisure; and supermarket. The company also operates ceneo.pl, a multi-category price comparison site; and eBilet, an event ticket sales site facilitating the sale of a range of entertainment, cultural, family, and sports events. Further, it operates Allegro Pay, a consumer finance and lending solutions provider; Opennet.pl, a technology solutions provider for logistics; X-press Couriers, a same day delivery courier service; and SkyNet Customes Brokers, a customs broker agency. In addition, it is involved in the data processing, hosting, and related activities; other information technology and computer service activities; computer facilities management activities; and software-related and computer consultancy activities. The company was formerly known as Adinan Super Topco S.a r.l. and changed its name to Allegro.eu SA in August 2020. Allegro.eu SA was incorporated in 2017 and is based in Luxembourg, Luxembourg.', 'city': 'Luxembourg City', 'country': 'Luxembourg', 'companyOfficers': [], 'website': 'https://www.allegro.eu', 'maxAge': 86400, 'address1': '1, rue Hildegard von Bingen', 'industry': 'Internet Retail'}",EQUITY,0.729166,0,31992852480,0,0,30.2911,30.2911,0,64.74,0,0,0,0,0,64.74,19.5,{}
0MN3.IL,"{'zip': '00-496', 'sector': 'Utilities', 'fullTimeEmployees': 38356, 'longBusinessSummary': 'PGE Polska Grupa Energetyczna S.A. engages in the production, transmission, and distribution of electricity in Poland. The company operates through seven segments: Conventional Generation, District Heating, Renewables, Supply, Distribution, Circular Economy, and Other Operations. It generates electricity from lignite, hard coal, natural gas, and biomass, as well as renewable energy sources, such as wind, photovoltaic, and hydro. The company operates 5 conventional power plants; 16 CHP plants; 2 lignite mines; 17 wind farms; 5 photovoltaic power plants; 29 run-of-river hydro power plants; and 4 pumped-storage power plants, including 2 with natural flow. It produces, transmits, and distributes heat; sells and purchases electricity and gas on wholesale market; trades in emission certificates; and purchases and sells fuels, as well as sells electricity and provides services to end users. The company supplies power to approximately 5 million households, businesses, and institutions. The company was founded in 1990 and is based in Warsaw, Poland.', 'city': 'Warsaw', 'phone': '48 22 340 1177', 'country': 'Poland', 'companyOfficers': [], 'website': 'https://www.gkpge.pl', 'maxAge': 86400, 'address1': 'ul. Mysia 2', 'industry': 'Utilities—Regulated Electric'}",EQUITY,1.239917,0,13462259712,0,1474502400,6,6,0,11.97,0,0,0,0,0,11.97,4.7857,{}
0XWG.IL,"{'zip': '100027', 'sector': 'Communication Services', 'fullTimeEmployees': 4981, 'longBusinessSummary': ""iQIYI, Inc., together with its subsidiaries, provides online entertainment video services in the People's Republic of China. It offers various products and services, including online video, online games, online literature, animations, and other products. The company operates a platform that provides a collection of internet video content, such as professionally produced content licensed from professional content providers and self-produced content. It also offers membership, online advertising, content distribution, and live broadcasting services. In addition, the company operates iQIYI Show, a live broadcasting platform that enables users to follow their favorite hosts and shows in real time through live broadcasting; and iQIYI Lite, which offers an easy and quick access to the personalized videos based on their user preferences. Further, it is involved in the talent agency and IP licensing activities, as well as engages in developing a video community app. The company was formerly known as Qiyi.com, Inc. and changed its name to iQIYI, Inc. in November 2017. iQIYI, Inc. was incorporated in 2009 and is headquartered in Beijing, China. iQIYI, Inc. is a subsidiary of Baidu, Inc."", 'city': 'Beijing', 'phone': '86 10 6267 7171', 'country': 'China', 'companyOfficers': [], 'website': 'https://www.iqiyi.com', 'maxAge': 86400, 'address1': 'iQIYI Youth Center', 'industry': 'Entertainment', 'address2': '4th Floor Yoolee Plaza No. 21, North Road of Workers’ Stadium, Chaoyang D'}",EQUITY,0.509342,0,5862429696,0,0,6.1278,6.1278,0,12.7,0,0,0,0,28,12.7,1.6693,"[{'date': 2019, 'revenue': {'raw': 28993658000, 'fmt': '28.99B', 'longFmt': '28,993,658,000'}, 'earnings': {'raw': -10324871000, 'fmt': '-10.32B', 'longFmt': '-10,324,871,000'}}, {'date': 2020, 'revenue': {'raw': 29707215000, 'fmt': '29.71B', 'longFmt': '29,707,215,000'}, 'earnings': {'raw': -7045448000, 'fmt': '-7.05B', 'longFmt': '-7,045,448,000'}}, {'date': 2021, 'revenue': {'raw': 30554359000, 'fmt': '30.55B', 'longFmt': '30,554,359,000'}, 'earnings': {'raw': -6189920000, 'fmt': '-6.19B', 'longFmt': '-6,189,920,000'}}, {'date': 2022, 'revenue': {'raw': 28997548000, 'fmt': '29B', 'longFmt': '28,997,548,000'}, 'earnings': {'raw': -136212000, 'fmt': '-136.21M', 'longFmt': '-136,212,000'}}]"
